Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-05-05,1609.04,1616.34,1591.58,1598.84,22424621
2020-05-06,1604.6,1606.44,1565.07,1567.98,34612015
2020-05-07,1572.16,1602.76,1559.06,1587.35,21763522
2020-05-08,1600.54,1614.18,1599.51,1606.5,15375851
2020-05-11,1614.21,1619.36,1581.5,1587.31,17939326
2020-05-12,1589.69,1624.52,1584.01,1622.51,29571887
2020-05-13,1615.9,1634.77,1607,1614.32,24392087
2020-05-14,1605.68,1605.68,1559.52,1579.16,26391998
2020-05-15,1585.51,1597.04,1568.38,1572.55,18369715
2020-05-18,1585.92,1639.08,1585.92,1639.08,29449606
2020-05-19,1651.08,1658.34,1629.29,1640.18,24494948
2020-05-20,1640.26,1662.2,1634.44,1652.64,24022509
2020-05-21,1651.03,1653.92,1636.24,1637.84,22155298
2020-05-22,1632.27,1635.98,1617.76,1630.44,19967851
2020-05-25,1639.26,1650.39,1634.34,1644.74,12109905
2020-05-26,1657.26,1712.64,1657.26,1709.71,58196613
2020-05-27,1713.73,1763.02,1705.09,1707.59,59902537
2020-05-28,1722.43,1757.78,1694.6,1718.45,59312587
2020-05-29,1718.19,1722.65,1699.32,1722.65,76818422
2020-06-01,1733.13,1749.58,1722.77,1733.52,36707001
